Lot Area,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Total Bsmt SF,1st Flr SF,2nd Flr SF,Gr Liv Area,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,TotRms AbvGrd,Garage Area,Yr Sold,SalePrice
31770,6,5,1960,1960,1080,1656,0,1656,1,0,3,1,7,528,2010,215000
11622,5,6,1961,1961,882,896,0,896,1,0,2,1,5,730,2010,105000
14267,6,6,1958,1958,1329,1329,0,1329,1,1,3,1,6,312,2010,172000
11160,7,5,1968,1968,2110,2110,0,2110,2,1,3,1,8,522,2010,244000
13830,5,5,1997,1998,928,928,701,1629,2,1,3,1,6,482,2010,189900
9978,6,6,1998,1998,926,926,678,1604,2,1,3,1,7,470,2010,195500
4920,8,5,2001,2001,1338,1338,0,1338,2,0,2,1,6,582,2010,213500
5005,8,5,1992,1992,1280,1280,0,1280,2,0,2,1,5,506,2010,191500
5389,8,5,1995,1996,1595,1616,0,1616,2,0,2,1,5,608,2010,236500
7500,7,5,1999,1999,994,1028,776,1804,2,1,3,1,7,442,2010,189000
10000,6,5,1993,1994,763,763,892,1655,2,1,3,1,7,440,2010,175900
7980,6,7,1992,2007,1168,1187,0,1187,2,0,3,1,6,420,2010,185000
8402,6,5,1998,1998,789,789,676,1465,2,1,3,1,7,393,2010,180400
10176,7,5,1990,1990,1300,1341,0,1341,1,1,2,1,5,506,2010,171500
6820,8,5,1985,1985,1488,1502,0,1502,1,1,1,1,4,528,2010,212000
53504,8,5,2003,2003,1650,1690,1589,3279,3,1,4,1,12,841,2010,538000
12134,8,7,1988,2005,559,1080,672,1752,2,0,4,1,8,492,2010,164000
11394,9,2,2010,2010,1856,1856,0,1856,1,1,1,1,8,834,2010,394432
19138,4,5,1951,1951,864,864,0,864,1,0,2,1,4,400,2010,141000
13175,6,6,1978,1988,1542,2073,0,2073,2,0,3,1,7,500,2010,210000
11751,6,6,1977,1977,1844,1844,0,1844,2,0,3,1,7,546,2010,190000
10625,7,6,1974,1974,1053,1173,0,1173,2,0,3,1,6,528,2010,170000
7500,7,5,2000,2000,814,814,860,1674,2,1,3,1,7,663,2010,216000
11241,6,7,1970,1970,1004,1004,0,1004,1,0,2,1,5,480,2010,149000
12537,5,6,1971,2008,1078,1078,0,1078,1,1,3,1,6,500,2010,149900
8450,5,6,1968,1968,1056,1056,0,1056,1,0,3,1,6,304,2010,142000
8400,4,5,1970,1970,882,882,0,882,1,0,2,1,4,525,2010,126000
10500,4,5,1971,1971,864,864,0,864,1,0,3,1,5,0,2010,115000
5858,7,5,1999,1999,1405,1337,0,1337,2,0,2,1,5,511,2010,184000
1680,6,5,1971,1971,483,483,504,987,1,1,2,1,5,264,2010,96000
1680,5,5,1971,1971,525,525,567,1092,1,1,3,1,6,320,2010,105500
1680,6,5,1971,1971,525,525,567,1092,1,1,3,1,6,264,2010,88000
4043,6,5,1977,1977,1069,1069,0,1069,2,0,2,1,4,440,2010,127500
2280,6,6,1975,1975,855,855,601,1456,2,1,3,1,6,440,2010,149900
2280,7,6,1975,1975,836,836,0,836,1,0,2,1,4,308,2010,120000
2280,6,5,1978,1978,855,855,601,1456,2,1,3,1,7,440,2010,146000
12858,9,5,2009,2010,1590,1627,707,2334,2,1,3,1,10,751,2010,376162
11478,8,5,2007,2008,1704,1704,0,1704,2,0,3,1,7,772,2010,306000
10159,9,5,2009,2010,1930,1940,0,1940,2,1,3,1,8,606,2010,395192
12883,8,5,2009,2010,1544,1544,0,1544,2,0,3,1,7,868,2010,290941
12182,7,5,2005,2005,1541,1541,0,1541,2,0,3,1,7,532,2010,220000
11520,9,5,2005,2005,1698,1698,0,1698,2,0,3,1,7,730,2010,275000
14122,8,5,2005,2006,1822,1822,0,1822,2,0,3,1,8,678,2010,259000
10171,7,5,2004,2004,1517,1535,0,1535,2,0,3,1,7,532,2010,214000
12919,9,5,2009,2010,2330,2364,0,2364,2,1,2,1,11,820,2010,611657
6371,7,5,2009,2010,1358,1358,0,1358,2,0,2,1,6,484,2010,224000
14300,9,5,2003,2004,2846,2696,0,2696,2,1,3,1,10,958,2010,500000
13650,8,5,2002,2002,1671,1687,563,2250,2,1,3,1,7,756,2010,320000
